method,first_step,later_steps,all_seen,rank_all_seen
simple_avg,67.0,53.55,56.24,1
full_finetune,0.0,26.55,21.240000000000002,2
rank_extension_orth_norm_lam_200,0.5,25.2625,20.31,3
rank_extension_orth_norm_lam_100,0.1,24.337500000000002,19.49,4
rank_extension_orth_norm_lam_50,0.35000000000000003,24.212500000000002,19.439999999999998,5
rank_extension,0.0,24.224999999999998,19.38,6
rank_extension_orth_norm_lam_10,0.1,24.087500000000002,19.29,7
rank_extension_zero_old_merge_orth_norm_lam_200,17.4,16.725,16.86,8
rank_extension_zero_old_merge_orth_norm_lam_100,16.05,16.875,16.71,9
rank_extension_zero_old_merge_orth_norm_lam_50,14.499999999999998,16.7375,16.29,10
rank_extension_zero_old_merge_orth_norm_lam_10,13.3,16.35,15.740000000000002,11
rank_extension_zero_old_merge,15.35,14.774999999999999,14.89,12
rank_extension_zero_old_merge_orth_trace_lam_50,0.0,1.5625,1.25,13
rank_extension_orth_trace_lam_10,0.8999999999999999,1.175,1.1199999999999999,14
rank_extension_orth_trace_lam_100,1.0999999999999999,1.0999999999999999,1.0999999999999999,15
rank_extension_orth_trace_lam_200,0.0,1.325,1.06,16
rank_extension_orth_trace_lam_50,0.05,1.2625000000000002,1.02,17
rank_extension_zero_old_merge_orth_trace_lam_10,0.05,1.2125000000000001,0.98,18
rank_extension_zero_old_merge_orth_trace_lam_100,0.2,1.1375,0.95,19
rank_extension_zero_old_merge_orth_trace_lam_200,1.25,0.8250000000000001,0.91,20
