method,step_id,accuracy
rank_extension,1,1.15
rank_extension,2,2.5
rank_extension,3,2.9499999999999997
rank_extension,4,8.05
rank_extension,5,96.95
rank_extension_kd_only_T2,1,59.699999999999996
rank_extension_kd_only_T2,2,52.5
rank_extension_kd_only_T2,3,44.4
rank_extension_kd_only_T2,4,70.6
rank_extension_kd_only_T2,5,91.9
rank_extension_orth_factor_lam_50,1,7.7
rank_extension_orth_factor_lam_50,2,21.85
rank_extension_orth_factor_lam_50,3,14.000000000000002
rank_extension_orth_factor_lam_50,4,29.799999999999997
rank_extension_orth_factor_lam_50,5,96.95
rank_extension_orth_factor_lam_50_kd_T2,1,63.7
rank_extension_orth_factor_lam_50_kd_T2,2,68.5
rank_extension_orth_factor_lam_50_kd_T2,3,60.650000000000006
rank_extension_orth_factor_lam_50_kd_T2,4,75.3
rank_extension_orth_factor_lam_50_kd_T2,5,83.95
simple_avg,1,82.0
simple_avg,2,68.0
simple_avg,3,68.65
simple_avg,4,61.9
simple_avg,5,79.9
simple_avg_factor_orth,1,71.2
simple_avg_factor_orth,2,78.85
simple_avg_factor_orth,3,72.35000000000001
simple_avg_factor_orth,4,70.19999999999999
simple_avg_factor_orth,5,85.1
simple_avg_factor_orth_kd_T2,1,77.75
simple_avg_factor_orth_kd_T2,2,70.7
simple_avg_factor_orth_kd_T2,3,66.2
simple_avg_factor_orth_kd_T2,4,57.3
simple_avg_factor_orth_kd_T2,5,78.95
simple_avg_kd_T2,1,88.9
simple_avg_kd_T2,2,68.5
simple_avg_kd_T2,3,67.4
simple_avg_kd_T2,4,60.35
simple_avg_kd_T2,5,72.39999999999999
