method,family,base_method,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,uses_replay,uses_zero_old,rank,rank_schedule,target_modules,orth_mode,first_step,later_steps,all_seen,old_new_gap,avg_forgetting,old_active_in_forward,ce_loss_mean,kd_loss_raw_mean,kd_loss_weighted_mean,delta_trace_loss_raw_mean,delta_trace_loss_weighted_mean,factor_orth_loss_raw_mean,factor_orth_loss_weighted_mean,total_loss_mean,kd_over_CE_mean,delta_trace_over_CE_mean,factor_orth_over_CE_mean,ce_loss_final,kd_loss_raw_final,kd_loss_weighted_final,delta_trace_loss_raw_final,delta_trace_loss_weighted_final,factor_orth_loss_raw_final,factor_orth_loss_weighted_final,total_loss_final,kd_over_CE_final,delta_trace_over_CE_final,factor_orth_over_CE_final,delta_vs_simple_avg,rank_extension_minus_simple_avg,rank_all_seen,kd_gain,orth_gain,replay_gain,gap_to_joint_upper_bound
simple_avg,simple_avg,simple_avg,False,0.0,0.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",none,58.050000000000004,41.725,44.99,16.325000000000003,,,0.4836996156226653,0.0,0.0,0.0,0.0,0.0,0.0,0.4836996156226653,0.0,0.0,0.0,0.08278024196624756,0.0,0.0,0.0,0.0,0.0,0.0,0.08278024196624756,0.0,0.0,0.0,0.0,,13,,,,
simple_avg_kd_T1,simple_avg,simple_avg_kd,True,1.0,1.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",none,77.45,23.5875,34.36,53.862500000000004,,,1.002407525655637,0.68588622156084,0.68588622156084,0.0,0.0,0.0,0.0,1.6882937477040751,0.7142159165252688,0.0,0.0,0.856353759765625,0.6743444800376892,0.6743444800376892,0.0,0.0,0.0,0.0,1.530698299407959,0.787460173260012,0.0,0.0,-10.630000000000003,,16,-10.630000000000003,,,
simple_avg_kd_T2,simple_avg,simple_avg_kd,True,2.0,1.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",none,77.45,29.5875,39.160000000000004,47.862500000000004,,,0.7741088738926823,0.6635760101540076,0.6635760101540076,0.0,0.0,0.0,0.0,1.4376848841896066,1.0611273243056658,0.0,0.0,0.5005950927734375,0.5268505811691284,0.5268505811691284,0.0,0.0,0.0,0.0,1.027445673942566,1.0524485532792096,0.0,0.0,-5.829999999999998,,14,-5.829999999999998,,,
simple_avg_delta_orth,simple_avg,simple_avg_delta_orth,False,0.0,0.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",delta_trace,33.7,63.0125,57.15,-29.3125,,,0.5786766591826458,0.0,0.0,0.0016993361244240198,0.0849668062609996,0.0,0.0,0.6636434658589021,0.0,0.2543441572306261,0.0,0.13080334663391113,0.0,0.0,2.3675367799569358e-07,1.183768381451955e-05,0.0,0.0,0.13081517815589905,0.0,9.049985431611349e-05,0.0,12.159999999999997,,8,,12.159999999999997,,
simple_avg_delta_orth_kd_T1,simple_avg,simple_avg_delta_orth_kd,True,1.0,1.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",delta_trace,59.050000000000004,58.537499999999994,58.64,0.51250000000001,,,1.0895710406613899,0.6922090989438143,0.6922090989438143,0.0016890292479071387,0.08445146241873365,0.0,0.0,1.8662316022902292,0.6944946598515922,0.04352858270336275,0.0,0.86639404296875,0.6734213829040527,0.6734213829040527,2.138108783356074e-07,1.0690543604141567e-05,0.0,0.0,1.5398261547088623,0.777269174884626,1.2339124086653982e-05,0.0,13.649999999999999,,7,1.490000000000002,24.28,,
simple_avg_delta_orth_kd_T2,simple_avg,simple_avg_delta_orth_kd,True,2.0,1.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",delta_trace,56.05,61.162499999999994,60.14000000000001,-5.112499999999997,,,0.8697597158392326,0.673847777085737,0.673847777085737,0.001683219301126455,0.08416096509998806,0.0,0.0,1.6277684581324592,1.0303252953018711,0.061155363705957325,0.0,0.5227127075195312,0.528541624546051,0.528541624546051,1.9141155860324943e-07,9.570578185957856e-06,0.0,0.0,1.0512639284133911,1.01115128241892,1.83094423538229e-05,0.0,15.150000000000006,,4,2.990000000000009,20.980000000000004,,
simple_avg_factor_orth,simple_avg,simple_avg_factor_orth,False,0.0,0.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",factor_orth,1.4000000000000001,73.275,58.9,-71.875,,,1.1026924040461012,0.0,0.0,0.0,0.0,7.591091548160775,379.5545772922112,380.65726993689424,0.0,0.0,113.35387848263944,0.16900348663330078,0.0,0.0,0.0,0.0,1.024962216433778e-06,5.124810923007317e-05,0.16905473172664642,0.0,0.0,0.0003032369938081023,13.909999999999997,,6,,13.909999999999997,,
simple_avg_factor_orth_kd_T1,simple_avg,simple_avg_factor_orth_kd,True,1.0,1.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",factor_orth,12.0,71.98750000000001,59.99,-59.98750000000001,,,1.549232507746826,0.7677054965557714,0.7677054965557714,0.0,0.0,7.565233317371442,378.2616652085027,380.57860312466056,0.5167926539381145,0.0,103.04041237072225,0.9281158447265625,0.7223268151283264,0.7223268151283264,0.0,0.0,7.098042260622606e-07,3.549021130311303e-05,1.6504781246185303,0.778272259041496,0.0,3.823898870461668e-05,15.0,,5,1.0900000000000034,25.630000000000003,,
simple_avg_factor_orth_kd_T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,1.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",factor_orth,11.450000000000001,72.96249999999999,60.660000000000004,-61.51249999999999,,,1.4040274529009846,0.7888332526113262,0.7888332526113262,0.0,0.0,7.558217752630651,377.910887323686,380.1037477503122,0.6660628069587038,0.0,104.21417831606142,0.5745086669921875,0.6228662729263306,0.6228662729263306,0.0,0.0,8.425477062701248e-07,4.212738713249564e-05,1.1974170207977295,1.0841721086406457,0.0,7.332767902872245e-05,15.670000000000002,,3,1.7600000000000051,21.5,,
rank_extension,rank_extension,rank_extension,False,0.0,0.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",none,0.05,25.575,20.47,-25.525,0.923625,True,0.6632369522119163,0.0,0.0,0.0,0.0,0.0,0.0,0.6632369522119163,0.0,0.0,0.0,0.05780678987503052,0.0,0.0,0.0,0.0,0.0,0.0,0.05780678987503052,0.0,0.0,0.0,-24.520000000000003,-24.520000000000003,18,,,,
rank_extension_kd_only_T1,rank_extension,rank_extension_kd_only,True,1.0,1.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",none,71.45,51.1875,55.24,20.262500000000003,0.30262500000000003,True,1.222054177920584,0.6133357275464725,0.6133357275464725,0.0,0.0,0.0,0.0,1.8353899055458762,0.6042692525213538,0.0,0.0,0.866058349609375,0.7613037824630737,0.7613037824630737,0.0,0.0,0.0,0.0,1.6273621320724487,0.8790444463765882,0.0,0.0,10.25,10.25,10,34.77,,,
rank_extension_kd_only_T2,rank_extension,rank_extension_kd_only,True,2.0,1.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",none,59.85,51.125,52.87,8.725000000000001,0.408125,True,1.0451891526993193,0.7692141802548783,0.7692141802548783,0.0,0.0,0.0,0.0,1.814403332678096,1.0081343831054284,0.0,0.0,0.6860122680664062,0.7313166856765747,0.7313166856765747,0.0,0.0,0.0,0.0,1.417328953742981,1.0660402440568555,0.0,0.0,7.8799999999999955,7.8799999999999955,12,32.4,,,
rank_extension_orth_delta_trace_lam_50,rank_extension,rank_extension_orth_delta_trace_lam_50,False,0.0,0.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",delta_trace,2.75,25.587500000000002,21.02,-22.837500000000002,0.91525,True,0.6809415058541534,0.0,0.0,0.00013416214776343032,0.006708107374511473,0.0,0.0,0.6876496133876182,0.0,0.03630574894933202,0.0,0.05710268020629883,0.0,0.0,5.488853815904804e-08,2.744426865319838e-06,0.0,0.0,0.057105425745248795,0.0,4.8061261841944976e-05,0.0,-23.970000000000002,-23.970000000000002,17,,0.5500000000000007,,
rank_extension_orth_delta_trace_lam_50_kd_T1,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,True,1.0,1.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",delta_trace,73.45,52.3625,56.58,21.087500000000006,0.2785,True,1.2389617989446615,0.6125926378044485,0.6125926378044485,7.459900345695291e-05,0.0037299501717235825,0.0,0.0,1.8552843860157455,0.5949058150899229,0.0032175848051498035,0.0,0.87432861328125,0.736109733581543,0.736109733581543,3.12313872541381e-08,1.5615693200743408e-06,0.0,0.0,1.6104398965835571,0.8419142670147439,1.786021063879144e-06,0.0,11.589999999999996,11.589999999999996,9,35.56,1.3399999999999963,,
rank_extension_orth_delta_trace_lam_50_kd_T2,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,True,2.0,1.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",delta_trace,62.35000000000001,53.37499999999999,55.169999999999995,8.975000000000016,0.37575000000000003,True,1.0642292156794513,0.7717166214369782,0.7717166214369782,8.237997112488436e-05,0.004118998553304193,0.0,0.0,1.8400648343854518,0.989265293368473,0.004840221649360318,0.0,0.5956497192382812,0.7563048601150513,0.7563048601150513,3.1855336146691116e-08,1.5927668073345558e-06,0.0,0.0,1.3519561290740967,1.269714121717285,2.6739990902181855e-06,0.0,10.179999999999993,10.179999999999993,11,34.14999999999999,2.299999999999997,,
rank_extension_orth_factor_lam_50,rank_extension,rank_extension_orth_factor_lam_50,False,0.0,0.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",factor_orth,12.15,40.6625,34.96,-28.512500000000003,0.741125,True,1.241636956900316,0.0,0.0,0.0,0.0,0.41700649041977156,20.850324510185622,22.09196147245467,0.0,0.0,2.5584625430506494,0.04753398895263672,0.0,0.0,0.0,0.0,4.695637585427903e-07,2.3478187358705327e-05,0.047557465732097626,0.0,0.0,0.0004939241977273414,-10.030000000000001,-10.030000000000001,15,,14.490000000000002,,
rank_extension_orth_factor_lam_50_kd_T1,rank_extension,rank_extension_orth_factor_lam_50_kd,True,1.0,1.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",factor_orth,83.45,58.56249999999999,63.54,24.88750000000001,0.159125,True,1.6675851234119714,0.5304429328385224,0.5304429328385224,0.0,0.0,0.07854314230786918,3.9271571143732094,6.125185164166102,0.4988652104615766,0.0,0.524117776894559,0.8709259033203125,0.7172238826751709,0.7172238826751709,0.0,0.0,6.702966288685275e-07,3.351483246660791e-05,1.5881832838058472,0.8235188320154534,0.0,3.848184138145127e-05,18.549999999999997,18.549999999999997,2,28.58,8.299999999999997,,
rank_extension_orth_factor_lam_50_kd_T2,rank_extension,rank_extension_orth_factor_lam_50_kd,True,2.0,1.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",factor_orth,80.0,65.53750000000001,68.43,14.462499999999991,0.16975,True,1.485093948347332,0.6787483259052853,0.6787483259052853,0.0,0.0,0.07799292207752001,3.899646097005976,6.063488366184068,0.7913651688245966,0.0,0.5650438756629764,0.5433807373046875,0.7583833932876587,0.7583833932876587,0.0,0.0,8.212186912714969e-07,4.106093547306955e-05,1.3018052577972412,1.3956758884167402,0.0,7.556568102996641e-05,23.440000000000005,23.440000000000005,1,33.470000000000006,15.56000000000001,,
